Date,Open,High,Low,Close,Volume
2021-02-26,109.0,127.8499984741211,101.0,121.3499984741211,128128642
2021-03-01,128.85000610351562,145.60000610351562,127.4000015258789,145.60000610351562,44411780
2021-03-02,159.0,174.6999969482422,155.89999389648438,174.6999969482422,47816924
2021-03-03,182.8999938964844,189.6999969482422,160.3000030517578,165.5500030517578,44140719
2021-03-04,159.0,169.5500030517578,155.0,162.4499969482422,16531447
2021-03-05,165.60000610351562,170.0,156.35000610351562,159.0,7533649
2021-03-08,163.0,165.25,153.0,153.9499969482422,6631888
2021-03-09,154.0,156.0,143.25,144.1999969482422,6952197
2021-03-10,145.5,153.8000030517578,141.1999969482422,148.39999389648438,11249859
2021-03-12,150.6999969482422,151.39999389648438,143.25,145.0500030517578,3649504
2021-03-15,145.6999969482422,145.75,140.6999969482422,141.60000610351562,2728127
2021-03-16,142.75,145.35000610351562,140.39999389648438,141.25,2484229
2021-03-17,141.5,144.6999969482422,133.0,134.5,4156022
2021-03-18,137.89999389648438,138.0,129.0,130.89999389648438,3090902
2021-03-19,128.9499969482422,131.5,125.0500030517578,130.60000610351562,5032566
2021-03-22,131.75,142.5,130.60000610351562,139.6999969482422,7632251
2021-03-23,142.5,143.8000030517578,136.5500030517578,138.1999969482422,5064535
2021-03-24,136.89999389648438,137.6999969482422,133.64999389648438,134.10000610351562,1828025
2021-03-25,134.3000030517578,136.1999969482422,128.60000610351562,130.5500030517578,2400349
2021-03-26,134.1999969482422,134.39999389648438,124.5999984741211,127.5,4569177
2021-03-30,128.35000610351562,129.89999389648438,125.6999969482422,127.6500015258789,1643816
2021-03-31,127.6500015258789,130.6999969482422,126.0,126.8000030517578,1951435
2021-04-01,128.10000610351562,130.5,126.8000030517578,128.8000030517578,2709913
2021-04-05,128.9499969482422,129.0,124.0,124.4499969482422,2098870
2021-04-06,124.75,125.0,122.25,122.5500030517578,1664214
2021-04-07,123.0,126.4000015258789,122.0500030517578,123.5,2300941
2021-04-08,125.0,125.75,123.0,123.9000015258789,2187813
2021-04-09,123.0999984741211,124.75,122.0500030517578,122.1999969482422,1992752
2021-04-12,120.0,120.0,111.0,114.1999969482422,3095710
2021-04-13,115.1500015258789,117.5,114.0999984741211,116.8000030517578,949551
2021-04-15,117.0,117.0,113.8499984741211,115.0500030517578,797101
2021-04-16,115.6500015258789,116.5,114.1999969482422,114.9000015258789,1081879
2021-04-19,111.6500015258789,111.9499969482422,109.0999984741211,111.4499969482422,1154644
2021-04-20,112.0,113.3499984741211,109.9000015258789,110.25,1810889
2021-04-22,109.6999969482422,110.6500015258789,108.4499969482422,109.6999969482422,1115771
2021-04-23,109.3499984741211,127.3000030517578,109.0500030517578,123.1999969482422,13116395
2021-04-26,125.0,125.0,120.0,120.4499969482422,2715920
2021-04-27,120.4499969482422,127.3000030517578,120.0500030517578,123.9499969482422,3336800
2021-04-28,124.0500030517578,126.75,123.1500015258789,123.4000015258789,1657700
2021-04-29,124.5500030517578,124.5999984741211,121.1500015258789,122.0,1160875
2021-04-30,121.25,124.3000030517578,120.5500030517578,121.6999969482422,1053137
2021-05-03,121.0,122.0,119.0500030517578,119.9499969482422,907564
2021-05-04,121.0,122.6500015258789,119.0,119.3000030517578,1296985
2021-05-05,120.4000015258789,121.3499984741211,119.4000015258789,119.8000030517578,811406
2021-05-06,120.6999969482422,120.6999969482422,118.4000015258789,118.8499984741211,588884
2021-05-07,119.5,126.3000030517578,119.0,122.25,3316323
2021-05-10,123.25,125.0,121.4000015258789,122.6500015258789,1478725
2021-05-11,121.5999984741211,129.6999969482422,121.0500030517578,128.3000030517578,4381779
2021-05-12,130.9499969482422,133.5,127.0500030517578,127.6999969482422,4295064
2021-05-14,128.89999389648438,129.1999969482422,123.5999984741211,125.6500015258789,1284592
2021-05-17,127.9499969482422,131.3000030517578,126.5999984741211,128.0500030517578,3383442
2021-05-18,129.25,131.10000610351562,128.1999969482422,129.64999389648438,3285205
2021-05-19,129.0,135.0,128.3000030517578,133.1999969482422,4611751
2021-05-20,133.0,135.0,129.5500030517578,130.4499969482422,2064077
2021-05-21,131.25,133.0,131.14999389648438,131.75,1435024
2021-05-24,132.10000610351562,132.8000030517578,130.0,130.60000610351562,1193893
2021-05-25,131.39999389648438,132.5,129.39999389648438,129.89999389648438,1442796
2021-05-26,130.89999389648438,131.4499969482422,129.0,129.25,1227079
2021-05-27,129.89999389648438,130.0,127.9000015258789,128.10000610351562,900930
2021-05-28,128.5,130.14999389648438,128.14999389648438,128.4499969482422,1222705
2021-05-31,128.8000030517578,129.85000610351562,127.6500015258789,128.8000030517578,830999
2021-06-01,128.89999389648438,129.64999389648438,126.1500015258789,127.1999969482422,787476
2021-06-02,126.8499984741211,128.85000610351562,126.1500015258789,127.25,726715
2021-06-03,127.8000030517578,131.1999969482422,127.5500030517578,130.85000610351562,2486421
2021-06-04,131.8000030517578,134.85000610351562,130.5500030517578,132.60000610351562,4118641
2021-06-07,134.0,140.5,134.0,137.64999389648438,7575815
2021-06-08,139.1999969482422,140.64999389648438,136.25,138.3000030517578,3015729
2021-06-09,139.1999969482422,158.3000030517578,137.5500030517578,153.0,26415842
2021-06-10,158.0,164.60000610351562,153.60000610351562,154.4499969482422,13767318
2021-06-11,155.39999389648438,156.1999969482422,148.5500030517578,149.89999389648438,3534943
2021-06-14,148.0,149.6999969482422,141.5500030517578,145.6999969482422,3157482
2021-06-15,146.0,155.39999389648438,146.0,150.4499969482422,4034660
2021-06-16,151.0,151.1999969482422,146.25,147.75,1991533
2021-06-17,145.89999389648438,150.6999969482422,145.0,146.85000610351562,2101478
2021-06-18,147.6999969482422,147.8000030517578,140.0,144.35000610351562,1993678
2021-06-21,140.35000610351562,147.8000030517578,140.1999969482422,145.0,1313515
2021-06-22,146.0,151.5,145.6999969482422,149.35000610351562,2182677
2021-06-23,149.39999389648438,149.6999969482422,146.25,146.64999389648438,1258742
2021-06-24,146.89999389648438,149.0,145.5,146.5500030517578,1241324
2021-06-25,147.89999389648438,150.0,147.1999969482422,147.5500030517578,1598579
2021-06-28,146.89999389648438,146.89999389648438,143.89999389648438,144.39999389648438,1433821
2021-06-29,144.5,145.6999969482422,142.0,142.4499969482422,957141
2021-06-30,142.89999389648438,144.4499969482422,140.8000030517578,141.39999389648438,1036554
2021-07-01,143.0,143.35000610351562,139.5500030517578,140.14999389648438,771116
2021-07-02,139.60000610351562,143.9499969482422,138.5500030517578,141.89999389648438,1627721
2021-07-05,143.89999389648438,144.6999969482422,142.0,142.9499969482422,1268561
2021-07-06,143.89999389648438,146.4499969482422,142.6999969482422,143.25,1456819
2021-07-07,143.25,143.5,141.5500030517578,142.39999389648438,597100
2021-07-08,144.9499969482422,146.6999969482422,142.0,143.14999389648438,2270121
2021-07-09,144.0,144.0,141.64999389648438,142.3000030517578,859571
2021-07-12,143.8000030517578,143.8000030517578,141.3000030517578,141.64999389648438,806001
2021-07-13,142.6999969482422,146.39999389648438,141.5500030517578,143.60000610351562,1830042
2021-07-14,143.5500030517578,149.8000030517578,143.3000030517578,149.10000610351562,5352070
2021-07-15,150.1999969482422,150.39999389648438,146.0,148.3000030517578,1757486
2021-07-16,148.35000610351562,148.75,146.0,146.35000610351562,818262
2021-07-19,144.0,146.25,143.5,144.10000610351562,987572
2021-07-20,144.10000610351562,145.0500030517578,140.25,142.64999389648438,962530
2021-07-22,143.10000610351562,144.39999389648438,142.10000610351562,142.4499969482422,547691
2021-07-23,142.4499969482422,143.4499969482422,140.8000030517578,141.0500030517578,603513
2021-07-26,140.9499969482422,146.0,140.10000610351562,142.14999389648438,1291111
2021-07-27,142.8000030517578,143.35000610351562,140.1999969482422,140.89999389648438,602619
2021-07-28,141.10000610351562,141.39999389648438,136.5500030517578,139.60000610351562,1035817
2021-07-29,140.0,141.25,139.0,139.3000030517578,574891
2021-07-30,139.39999389648438,140.3000030517578,138.6999969482422,139.0,414675
2021-08-02,139.60000610351562,142.14999389648438,139.10000610351562,139.5,978106
2021-08-03,139.8000030517578,140.5,138.0,138.5500030517578,592436
2021-08-04,139.1999969482422,140.1999969482422,135.85000610351562,136.3000030517578,635643
2021-08-05,135.4499969482422,136.4499969482422,134.0,135.10000610351562,521181
2021-08-06,135.39999389648438,136.9499969482422,135.0,135.10000610351562,510901
2021-08-09,135.1999969482422,137.4499969482422,135.0,135.14999389648438,649434
2021-08-10,135.6999969482422,135.9499969482422,130.0,130.6999969482422,723121
2021-08-11,130.89999389648438,136.3000030517578,126.5,130.89999389648438,1226769
2021-08-12,131.8000030517578,135.75,131.75,134.75,604666
2021-08-13,134.39999389648438,134.39999389648438,131.0,131.60000610351562,495248
2021-08-16,131.89999389648438,131.89999389648438,128.39999389648438,128.8000030517578,534692
2021-08-17,132.0,132.0,127.9000015258789,128.1999969482422,513083
2021-08-18,129.9499969482422,129.9499969482422,127.0,127.3499984741211,359414
2021-08-20,126.5500030517578,127.0,123.0,124.9499969482422,528516
2021-08-23,126.0,127.3499984741211,120.0,121.0500030517578,530087
